Project Number,Zip Code,Sector,Purchase Type,Application_Month,Project Status,Total Inverter Quantity,Total PV Module Quantity,Hardware Cost,Labor Cost,misc cost,$Incentive,Total Nameplate kW DC,Expected kWh Annual Production,
308116,10002,Non-Residential,Purchase,18,Pipeline,4,334,194304,115368,297528,145290,145.29,171511,607200
306739,10002,Non-Residential,Purchase,7,Pipeline,2,197,79200.22,36000.1,244800.68,83865,83.86,94552,360001
277267,10027,Residential,Lease,4,Complete,28,28,14499.54,5370.2,33832.26,1831,9.16,10140,53702
311747,10027,Non-Residential,Purchase,16,Pipeline,1,116,67033.75,24898.25,99593,49880,49.88,60960,191525
306640,10027,Non-Residential,Purchase,7,Pipeline,1,157,125286.4,31321.6,0,16485,54.95,61766,156608
312322,10031,Residential,Purchase,11,Pipeline,1,15,18694.36,6383.44,20518.2,1200,6,6476,45596
297256,10031,Residential,Purchase,18,Complete,1,14,21289.2679,4820.2116,14058.9505,1050,5.25,5468,40168.43
286360,10031,Residential,Purchase,13,Complete,1,15,24031.948,6007.987,5301.165,1080,5.4,6075,35341.1
299417,10031,Non-Residential,Purchase,3,Pipeline,2,73,39100,18400,,15229,29.93,36083,115000
302257,10031,Non-Residential,Purchase,14,Pipeline,1,34,4212.23,7275.67,26805.1,14450,14.45,18061,38293
301903,10032,Residential,Purchase,9,Pipeline,1,12,8341.75,1777.75,3555.5,912,4.56,5478,13675
281627,10032,Non-Residential,Purchase,19,Pipeline,1,119,70299.52,39543.48,109843,12852,42.84,52356,219686
286441,10032,Non-Residential,Purchase,21,Pipeline,1,62,30903.66,19457.86,,6696,22.32,26348,114458
286442,10032,Non-Residential,Purchase,21,Pipeline,1,56,,,28946.96,6048,20.16,24918,103382
298254,10033,Non-Residential,Purchase,7,Pipeline,2,85,64111.4625,17996.2,30368.5875,10073,33.58,40567,112476.25
283100,10035,Residential,Purchase,5,Complete,2,30,44989.7,,6427.1,1424,10.95,9978,64271
294437,10037,Non-Residential,Purchase,3,Pipeline,4,176,29795.22,24829.35,110904.43,17688,58.96,73695,165529
290187,10040,Non-Residential,Purchase,12,Pipeline,2,188,236005.56,34706.7,76354.74,20304,67.68,82714,347067
276293,10301,Residential,Purchase,23,Complete,17,17,33025.96,9757.67,32275.37,642,6.29,4316,75059
277885,10301,Residential,Purchase,3,Complete,23,23,52955.98,11691.58,4126.44,766,8.51,5208,68774
296387,10301,Residential,Lease,12,Pipeline,17,17,30562.4,9966,25911.6,1258,6.29,6616,66440
306644,10301,Residential,Purchase,6,Pipeline,35,35,16735.95,6818.35,38430.7,1617,12.25,10882,61985
283091,10301,Residential,Power Purchase Agreement,6,Complete,48,48,37128,7098,10374,2184,16.8,14657,54600
300378,10301,Residential,Purchase,15,Pipeline,14,14,13126.59,9237.23,26253.18,638,4.76,4300,48617
293758,10301,Residential,Purchase,25,Complete,31,31,17281.0128,7939.9248,21484.5024,1433,10.54,9612,46705.44
315306,10301,Residential,Purchase,23,Pipeline,26,26,33349.68,7874.23,5095.09,1820,9.1,10342,46319
283319,10301,Residential,Purchase,4,Complete,13,13,27942.27,7787.19,10077.54,832,4.16,4758,45807
310363,10301,Residential,Purchase,16,Pipeline,23,23,11759.1,3919.7,23518.2,1702,8.51,8055,39197
298533,10301,Residential,Lease,25,Complete,25,25,6633,5527.5,24689.5,1650,8.25,8392,36850
307357,10301,Residential,Power Purchase Agreement,11,Complete,30,30,20884.5,4309.5,7956,1408,10.2,9533,33150
289043,10301,Residential,Purchase,12,Complete,21,21,11059.52,4228.64,17239.84,1428,7.14,7686,32528
298241,10301,Residential,Power Purchase Agreement,24,Complete,29,29,17449.8744,3116.049,10594.5666,2030,10.15,9909,31160.49
286761,10301,Residential,Purchase,14,Pipeline,23,23,3152.6,4872.2,20635.2,1656,8.28,9131,28660
289455,10301,Residential,Purchase,3,Complete,15,15,4760,4200,19040,655,5.55,4381,28000
284838,10301,Residential,Purchase,7,Pipeline,19,19,12209.4,4309.2,7421.4,1330,6.65,8232,23940
260532,10301,Residential,Power Purchase Agreement,6,Complete,17,17,11904.165,3968.055,5012.28,1190,5.95,5792,20884.5
279689,10301,Residential,Power Purchase Agreement,11,Complete,17,17,15014.23,2840.53,2434.74,797,5.95,5364,20289.5
277645,10301,Residential,Power Purchase Agreement,9,Complete,18,18,4032,2822.4,13305.6,844,6.3,5680,20160
315300,10301,Residential,Lease,23,Pipeline,1,23,8612.04,2203.08,9212.88,1656,8.28,8123,20028
311627,10301,Residential,Purchase,7,Complete,10,10,6068.0032,3792.502,9102.0048,700,3.5,3626,18962.51
287395,10301,Residential,Power Purchase Agreement,12,Complete,15,15,14270.0327,2038.5761,2223.9012,1050,5.25,5100,18532.51
296586,10301,Residential,Purchase,12,Complete,8,15,9460.5,2142,6247.5,1020,5.1,5448,17850
290784,10301,Residential,Purchase,11,Pipeline,16,16,2474.5,2297.75,12902.75,1136,5.68,6725,17675
282148,10301,Residential,Power Purchase Agreement,11,Complete,14,14,6472.41,2973.81,8046.78,980,4.9,4144,17493
296398,10301,Residential,Lease,11,Complete,13,13,10657.92,2620.8,4193.28,910,4.55,4360,17472
312545,10301,Residential,Lease,11,Pipeline,1,21,12303.59,3465.8,1559.61,1512,7.56,7290,17329
275661,10301,Residential,Power Purchase Agreement,23,Complete,15,15,6045.3785,2072.7012,9154.4303,662,5.25,4450,17272.51
297157,10301,Residential,Power Purchase Agreement,18,Complete,15,15,11869.2,2637.6,1978.2,603,5.03,4079,16485
287000,10301,Residential,Power Purchase Agreement,29,Complete,16,16,3776.64,1573.6,10385.76,672,5.6,4544,15736
308731,10301,Residential,Purchase,18,Pipeline,9,9,8213.7232,2423.7216,2827.6752,684,3.42,3461,13465.12
307631,10301,Residential,Power Purchase Agreement,12,Pipeline,10,10,1615.38,2485.2,8325.42,760,3.8,3681,12426
313751,10301,Residential,Power Purchase Agreement,17,Pipeline,12,12,7850.328,1990.224,1216.248,449,4.08,3019,11056.8
308317,10301,Residential,Purchase,17,Complete,1,7,3383.82,1127.94,5742.24,504,2.52,2916,10254
307836,10301,Residential,Lease,12,Pipeline,1,8,5220.18,1643.39,2803.43,520,2.6,2655,9667
294133,10301,Non-Residential,Lease,12,Pipeline,5,1003,407623,153820,207657,123369,411.23,375866,769100
294139,10301,Non-Residential,Lease,9,Pipeline,5,977,337648,143680,237072,120171,400.57,463517,718400
293767,10301,Non-Residential,Purchase,30,Pipeline,2,221,103234.08,86028.4,240879.52,25194,83.98,94917,430142
297640,10301,Non-Residential,Purchase,8,Pipeline,24,24,3281,3667,12352,2556,8.52,8827,19300
292971,10302,Residential,Purchase,10,Complete,16,16,27323.92,5813.6,24998.48,1184,5.92,6611,58136
298865,10302,Residential,Purchase,25,Complete,24,24,33710.88,4267.2,4693.92,1680,8.4,8057,42672
290433,10302,Residential,Power Purchase Agreement,5,Complete,30,30,16695,4674.6,12020.4,1407,10.5,9437,33390
307709,10302,Residential,Power Purchase Agreement,12,Pipeline,25,25,7980,6384,17556,1273,9.5,8533,31920
297075,10302,Residential,Power Purchase Agreement,17,Pipeline,26,25,15879.5,4446.26,11433.24,1750,8.75,8349,31759
286547,10302,Residential,Power Purchase Agreement,9,Complete,25,25,10108,4788,11704,1750,8.75,9301,26600
297522,10302,Residential,Power Purchase Agreement,18,Pipeline,20,20,7755.23,4333.805,10720.465,1519,7,5793,22809.5
309390,10302,Residential,Power Purchase Agreement,21,Pipeline,18,18,3160.08,3160.08,14747.04,903,6.84,6054,21067.2
312342,10302,Residential,Lease,10,Complete,14,14,11552.24,3300.64,5776.12,980,4.9,5406,20629
312059,10302,Residential,Purchase,8,Pipeline,1,12,14656.6189,3045.5312,1332.4199,476,3.9,3201,19034.57
304210,10302,Residential,Power Purchase Agreement,24,Pipeline,13,13,6784.596,3069.222,6299.982,988,4.94,4786,16153.8
301272,10302,Residential,Power Purchase Agreement,6,Pipeline,14,14,9573.34,2667.98,3452.68,564,5.32,3794,15694
312142,10302,Residential,Power Purchase Agreement,9,Pipeline,13,13,7112.612,2010.086,6339.502,988,4.94,5118,15462.2
307524,10302,Residential,Lease,11,Complete,1,14,4974.75,2261.25,7839,655,5.04,4408,15075
291673,10302,Residential,Purchase,12,Complete,1,7,8113.2684,1862.0616,3325.11,504,2.52,2713,13300.44
287861,10302,Residential,Power Purchase Agreement,12,Complete,12,12,7582.68,2441.88,2827.44,840,4.2,4690,12852
308450,10302,Residential,Power Purchase Agreement,17,Pipeline,8,8,5696.352,1687.808,3164.64,608,3.04,3078,10548.8
306300,10302,Residential,Lease,4,Pipeline,8,8,986.59,986.59,6995.82,520,2.6,2589,8969
287863,10302,Residential,Power Purchase Agreement,12,Complete,8,8,4972.8,1243.2,2072,560,2.8,2939,8288
311083,10303,Residential,Purchase,2,Pipeline,2,27,16713.6622,6775.809,21682.5888,1944,9.72,10395,45172.06
303153,10303,Residential,Purchase,16,Complete,26,26,6484.14,6051.864,30691.596,1768,8.84,9163,43227.6
288427,10303,Residential,Power Purchase Agreement,5,Complete,30,30,13683.6,3801,20525.4,2100,10.5,10511,38010
314620,10303,Residential,Power Purchase Agreement,22,Pipeline,33,33,25834.288,7218.404,4938.908,2508,12.54,12286,37991.6
312610,10303,Residential,Power Purchase Agreement,11,Pipeline,26,26,27567.54,6361.74,1413.72,1768,8.84,9872,35343
312686,10303,Residential,Power Purchase Agreement,14,Pipeline,25,25,10294.35,3743.4,17157.25,1700,8.5,9260,31195
291810,10303,Residential,Power Purchase Agreement,13,Complete,26,26,4255.16,3039.4,23099.44,1165,9.1,7836,30394
294881,10303,Residential,Lease,3,Complete,36,36,23352.42,5089.63,1496.95,2592,12.96,13776,29939
304330,10303,Residential,Lease,26,Complete,1,8,16022.7126,3530.4282,7603.9992,576,2.88,3410,27157.14
281029,10303,Residential,Power Purchase Agreement,6,Pipeline,20,20,19353.6,4300.8,3225.6,1400,7,7440,26880
288364,10303,Residential,Power Purchase Agreement,11,Pipeline,20,20,17238,4243.2,5038.8,1360,6.8,7558,26520
301500,10303,Residential,Power Purchase Agreement,7,Pipeline,22,22,14440.14,3413.124,8401.536,1496,7.48,7457,26254.8
294534,10303,Residential,Power Purchase Agreement,3,Complete,24,24,10936.8,2864.4,12238.8,1680,8.4,8383,26040
303199,10303,Residential,Power Purchase Agreement,17,Pipeline,21,21,5600.364,3054.744,16801.092,958,7.98,6468,25456.2
303250,10303,Residential,Power Purchase Agreement,17,Complete,17,17,7062.718,4140.214,13151.268,1292,6.46,6575,24354.2
310285,10303,Residential,Lease,26,Pipeline,20,20,4199.76,4666.4,14465.84,1003,7.6,6730,23332
289144,10303,Residential,Lease,29,Complete,19,19,17851.68,2550.24,2782.08,1330,6.65,7271,23184
316206,10303,Residential,Power Purchase Agreement,29,Pipeline,18,18,4459.68,4236.696,13602.024,1368,6.84,6566,22298.4
308112,10303,Residential,Power Purchase Agreement,14,Pipeline,20,20,12597,4420,5083,612,6.8,4136,22100
278151,10303,Residential,Purchase,16,Pipeline,10,10,15658.5073,3217.5015,2574.0012,3120,3.9,4198,21450.01
309346,10303,Residential,Power Purchase Agreement,21,Complete,18,18,11287.728,2768.688,7241.184,1224,6.12,6341,21297.6
287401,10303,Residential,Power Purchase Agreement,21,Complete,20,20,8993.6,2657.2,8789.2,1400,7,7196,20440
311525,10303,Residential,Purchase,4,Pipeline,14,14,11004.4,3401.36,5602.24,1008,5.04,6248,20008
302802,10303,Residential,Power Purchase Agreement,15,Pipeline,17,17,10180.314,1996.14,7784.946,762,6.46,5128,19961.4
301082,10303,Residential,Power Purchase Agreement,3,Pipeline,16,16,3537.8,3537.8,11544.4,729,5.44,4922,18620
287054,10303,Residential,Lease,15,Complete,18,18,13253.88,3268.08,1634.04,2237,6.39,7394,18156
287038,10303,Residential,Lease,15,Complete,18,18,7139.6,1784.9,8924.5,2237,6.39,6477,17849
287962,10303,Residential,Purchase,22,Complete,12,12,6168.96,1713.6,9253.44,816,4.08,4539,17136
275780,10303,Residential,Power Purchase Agreement,23,Complete,13,13,6207.11,2940.21,7187.18,910,4.55,4479,16334.5
306194,10303,Residential,Lease,4,Complete,1,17,7858.62,3047.22,5132.16,1224,6.12,5822,16038
275770,10303,Residential,Power Purchase Agreement,5,Complete,11,11,1884.96,2513.28,11309.76,770,3.85,4497,15708
305039,10303,Residential,Power Purchase Agreement,28,Pipeline,14,14,11138.4,1856.4,2475.2,952,4.76,4740,15470
288876,10303,Residential,Lease,5,Complete,15,15,11337.54,2757.78,1225.68,551,5.1,3687,15321
307626,10303,Residential,Lease,12,Pipeline,12,12,6415.92,3055.2,5804.88,912,4.56,4591,15276
301232,10303,Residential,Power Purchase Agreement,6,Pipeline,12,12,1935.96,2978.4,9977.64,816,4.08,4026,14892
306554,10303,Residential,Power Purchase Agreement,6,Pipeline,8,8,3648,1459.2,9484.8,420,3.04,2806,14592
312347,10303,Residential,Power Purchase Agreement,10,Pipeline,13,13,6233.968,2174.64,6088.992,884,4.42,4250,14497.6
303428,10303,Residential,Lease,19,Complete,1,12,6177.12,1930.35,4761.53,562,4.32,3798,12869
315313,10303,Residential,Lease,23,Pipeline,9,9,1485.54,2228.31,8665.65,630,3.15,3438,12379.5
303579,10303,Residential,Power Purchase Agreement,21,Pipeline,9,9,7974.072,1309.176,2618.352,684,3.42,3451,11901.6
315435,10303,Residential,Lease,24,Pipeline,1,10,2015.1,2127.05,7052.85,720,3.6,4214,11195
276295,10304,Residential,Purchase,23,Complete,14,14,36169.9,6121.06,13355.04,1036,5.18,5063,55646
287428,10304,Residential,Purchase,10,Complete,10,10,36094.5,9995.4,9440.1,740,3.7,3867,55530
284496,10304,Residential,Purchase,6,Complete,34,34,8863.36,7201.48,39331.16,2312,11.56,12315,55396
289574,10304,Residential,Purchase,9,Complete,8,8,12179.7,7963.65,26701.65,896,2.56,3203,46845
290185,10304,Residential,Power Purchase Agreement,6,Pipeline,34,34,30219.948,8569.836,6314.616,2380,11.39,12674,45104.4
280093,10304,Residential,Purchase,4,Complete,9,9,13096.26,7604.28,21545.46,670,3.35,3700,42246
280029,10304,Residential,Purchase,23,Pipeline,19,19,13600.34,4000.1,22400.56,970,7.03,6512,40001
286470,10304,Residential,Purchase,12,Complete,37,37,25025,5005,8470,2368,11.84,13804,38500
286471,10304,Residential,Purchase,12,Complete,37,37,6545,7315,24640,2356,11.78,13367,38500
286373,10304,Residential,Lease,13,Complete,45,45,10385.48,6676.38,20029.14,1775,15.3,11872,37091
283313,10304,Residential,Purchase,23,Complete,6,6,4510.61,4857.58,25328.81,384,1.92,2377,34697
301220,10304,Residential,Purchase,13,Pipeline,2,30,20944,4620,5236,2010,10.05,11206,30800
300001,10304,Residential,Lease,30,Pipeline,23,23,12545.25,5835,10794.75,1610,8.05,10568,29175
313864,10304,Residential,Purchase,18,Pipeline,1,17,10756.5916,5378.2958,12171.9326,1224,6.12,6989,28306.82
283161,10304,Residential,Lease,9,Pipeline,23,23,9016,4226.25,14932.75,1610,8.05,9146,28175
268499,10304,Residential,Power Purchase Agreement,5,Complete,15,15,21168.84,3483.48,2143.68,662,5.25,4450,26796
306303,10304,Residential,Lease,4,Pipeline,30,30,4026.24,2516.4,18621.36,1407,10.5,9409,25164
311094,10304,Residential,Lease,2,Pipeline,1,27,10281.16,4012.16,10782.68,1944,9.72,9707,25076
300757,10304,Residential,Lease,1,Complete,1,27,17839.74,2443.8,4154.46,1944,9.72,9280,24438
303889,10304,Residential,Purchase,22,Pipeline,18,18,4762.8,4524.66,14526.54,1260,6.3,6781,23814
277838,10304,Residential,Power Purchase Agreement,5,Complete,15,15,4398.975,3142.125,13406.4,1050,5.25,5934,20947.5
303215,10304,Residential,Lease,16,Complete,15,15,9853.2,2052.75,8621.55,1050,5.25,5232,20527.5
294454,10304,Residential,Lease,2,Complete,21,21,9172.8,2446.08,8765.12,857,7.14,5801,20384
299425,10304,Residential,Power Purchase Agreement,30,Pipeline,18,18,2364.768,2758.896,14582.736,731,6.3,4917,19706.4
309864,10304,Residential,Lease,25,Complete,1,16,5359.424,3636.752,10144.624,1120,5.6,6838,19140.8
286353,10304,Residential,Lease,15,Complete,14,14,6959.94,1784.6,9101.46,676,4.9,4563,17846
290321,10304,Residential,Lease,5,Complete,19,19,13548.6,2605.5,1215.9,1292,6.46,6285,17370
295814,10304,Residential,Power Purchase Agreement,10,Complete,13,13,1906.905,3467.1,11961.495,910,4.55,4813,17335.5
275705,10304,Residential,Power Purchase Agreement,5,Complete,15,15,9298.8,2755.2,5166,1268,5.25,4902,17220
312423,10304,Residential,Purchase,10,Pipeline,1,9,4806.321,3044.0033,8170.7457,648,3.24,3052,16021.07
292763,10304,Residential,Lease,19,Complete,14,14,10338.1,2468.8,2623.1,1008,5.04,6268,15430
297037,10304,Residential,Power Purchase Agreement,17,Complete,12,12,8080.38,3049.2,4116.42,840,4.2,4012,15246
313049,10304,Residential,Purchase,15,Pipeline,1,9,4308.38,2779.6,6810.02,648,3.24,3052,13898
294848,10304,Residential,Lease,3,Complete,11,11,3181.36,1345.96,7708.68,467,3.96,3143,12236
306200,10304,Residential,Lease,13,Complete,11,11,4920.3,2108.7,4686,531,3.85,3593,11715
306304,10304,Residential,Lease,4,Complete,8,8,6859.08,939.6,1597.32,544,2.72,2974,9396
297587,10304,Non-Residential,Purchase,16,Pipeline,113,113,15012,11676,56712,12035,40.12,44537,83400
297636,10304,Non-Residential,Purchase,16,Pipeline,16,16,2346.5,1482,8521.5,1704,5.68,6282,12350
311402,10305,Residential,Purchase,4,Pipeline,36,36,25847.64,13255.2,27173.16,2520,12.6,13139,66276
308198,10305,Residential,Purchase,21,Complete,34,34,29807.4489,9935.8163,12550.5048,2448,12.24,13757,52293.77
312533,10305,Residential,Purchase,11,Pipeline,2,34,30841.2,6642.72,9964.08,2448,12.24,12821,47448
302135,10305,Residential,Power Purchase Agreement,10,Pipeline,9,9,8459.082,8929.031,29606.787,684,3.42,4049,46994.9
306900,10305,Residential,Purchase,19,Pipeline,25,25,13485,6975,26040,1800,9,10492,46500
295295,10305,Residential,Purchase,5,Complete,26,26,5114.9791,6974.9715,34409.8594,1820,9.1,9367,46499.81
292862,10305,Residential,Purchase,24,Complete,26,26,4987.9032,4987.9032,25652.0736,1292,9.36,8710,35627.88
303618,10305,Residential,Lease,20,Complete,1,21,11639.1825,5643.24,17987.8275,1512,7.56,7586,35270.25
299389,10305,Residential,Purchase,6,Complete,20,20,9570,5940,17490,1440,7.2,7586,33000
301933,10305,Residential,Purchase,8,Complete,1,18,21963.404,5572.804,5244.992,791,6.48,5338,32781.2
286377,10305,Residential,Power Purchase Agreement,12,Complete,25,25,18604.225,3849.15,9622.875,1675,8.38,7937,32076.25
286410,10305,Residential,Power Purchase Agreement,22,Complete,22,22,13969.34,3863.86,11888.8,1540,7.7,8255,29722
315959,10305,Residential,Power Purchase Agreement,28,Pipeline,22,24,16919.76,2603.04,6507.6,1632,8.16,4579,26030.4
307469,10305,Residential,Purchase,11,Complete,15,15,9795.45,3351.075,12630.975,1050,5.25,5557,25777.5
298555,10305,Residential,Lease,25,Complete,14,14,16055,4693,3952,1022,5.11,5864,24700
297737,10305,Residential,Power Purchase Agreement,20,Complete,19,19,7383.78,3445.764,13783.056,1330,6.46,7370,24612.6
306234,10305,Residential,Purchase,5,Complete,14,14,12135.8274,3569.361,8090.5516,1008,5.04,6137,23795.74
301405,10305,Residential,Purchase,6,Complete,10,10,5160.76,3753.28,14543.96,740,3.7,4331,23458
311458,10305,Residential,Purchase,7,Pipeline,1,20,7192,4408,11600,1340,6.7,8420,23200
293882,10305,Residential,Power Purchase Agreement,27,Complete,16,16,5607.8725,2691.7788,14131.8387,1120,5.6,5877,22431.49
313066,10305,Residential,Purchase,15,Pipeline,1,14,4861.92,2430.96,12965.12,1008,5.04,5822,20258
303025,10305,Residential,Purchase,15,Pipeline,20,20,13469.68,3417.68,3216.64,1360,6.8,7595,20104
313073,10305,Residential,Purchase,15,Pipeline,1,13,2392.32,3389.12,14154.56,936,4.68,5061,19936
303406,10305,Residential,Lease,19,Complete,1,25,6142.03,3566.34,10104.63,1800,9,9799,19813
306231,10305,Residential,Lease,4,Complete,11,11,5428.5,3257.1,9409.4,770,3.85,4992,18095
307584,10305,Residential,Lease,11,Complete,1,19,2731.84,2731.84,11610.32,1368,6.84,8632,17074
297782,10305,Residential,Lease,19,Complete,1,15,2608.14,2147.88,10585.98,1080,5.4,5226,15342
294091,10305,Residential,Lease,1,Complete,15,15,11333.84,1531.6,2450.56,1080,5.4,6132,15316
290315,10305,Residential,Lease,5,Complete,14,14,3061.59,1603.69,9913.72,952,4.76,5316,14579
313869,10305,Residential,Power Purchase Agreement,18,Pipeline,11,11,8532.436,1678.512,3776.652,748,3.74,3925,13987.6
293264,10305,Residential,Power Purchase Agreement,24,Pipeline,10,10,6079.5,2161.6,5268.9,700,3.5,3683,13510
293274,10305,Residential,Power Purchase Agreement,24,Pipeline,10,10,6641.22,1562.64,4818.14,700,3.4,3797,13022
315302,10305,Residential,Lease,23,Pipeline,1,13,3042,1581.84,7544.16,936,4.68,5982,12168
308346,10305,Residential,Lease,17,Pipeline,7,7,5112.25,1859,2323.75,504,2.52,2538,9295
299758,10305,Non-Residential,Power Purchase Agreement,2,Pipeline,4,1473,151277.1,181532.52,1179961.38,174551,581.84,659958,1512771
296851,10305,Non-Residential,Purchase,18,Pipeline,2,300,192781.68,64260.56,237269.76,32400,108,127878,494312
276322,10306,Residential,Purchase,24,Complete,18,18,10769.22,7179.48,33333.3,1152,5.76,6209,51282
288563,10306,Residential,Purchase,1,Complete,1,28,14333.76,3981.6,21500.64,2016,10.08,11519,39816
284862,10306,Residential,Power Purchase Agreement,12,Complete,30,30,9874.125,3949.65,25672.725,2010,10.05,11228,39496.5
311442,10306,Residential,Power Purchase Agreement,4,Pipeline,32,32,10105.344,6736.896,20584.96,2176,10.88,11757,37427.2
297781,10306,Residential,Purchase,19,Complete,1,18,19707.3,4744.35,12043.35,778,6.48,5231,36495
311087,10306,Residential,Purchase,11,Pipeline,25,25,13466.15,5095.3,17833.55,1800,9,9639,36395
314477,10306,Residential,Purchase,22,Pipeline,20,20,26706.4,6325.2,2108.4,840,7,5617,35140
288649,10306,Residential,Lease,6,Pipeline,30,30,10080,5376,18144,2100,10.5,10406,33600
313684,10306,Residential,Purchase,17,Pipeline,18,18,4254.64,5563.76,22909.6,820,6.12,5517,32728
289555,10306,Residential,Purchase,3,Complete,20,20,8158.3606,6275.662,16944.2874,1360,6.8,8509,31378.31
291312,10306,Residential,Purchase,10,Complete,24,24,14485.92,5432.22,10260.86,1728,8.64,9689,30179
303125,10306,Residential,Purchase,18,Pipeline,12,12,22043.194,5957.62,1787.286,960,4.8,5511,29788.1
307835,10306,Residential,Lease,12,Complete,2,31,21534,3783,3783,2232,11.16,10555,29100
291992,10306,Residential,Power Purchase Agreement,5,Complete,24,24,11356.8,3407.04,13628.16,1126,8.4,7573,28392
299310,10306,Residential,Purchase,19,Complete,10,10,14394.5256,5259.5382,8027.7162,830,4.15,4992,27681.78
295893,10306,Residential,Lease,9,Complete,28,28,21007.91,3273.96,3001.13,2016,10.08,9761,27283
297786,10306,Residential,Purchase,19,Complete,1,17,4387.1475,3871.0125,17548.59,1105,5.53,6279,25806.75
306295,10306,Residential,Purchase,4,Complete,13,13,6700.0544,4380.8048,14688.5808,618,4.68,4141,25769.44
314915,10306,Residential,Purchase,22,Pipeline,1,15,7476.864,4236.8896,13209.1264,1080,5.4,6559,24922.88
302668,10306,Residential,Lease,5,Complete,19,19,4894.4,3670.8,15906.8,1606,6.65,6197,24472
310262,10306,Residential,Power Purchase Agreement,26,Pipeline,24,24,11711.232,4879.68,7807.488,1028,8.16,6962,24398.4
295815,10306,Residential,Power Purchase Agreement,10,Complete,24,24,7499.52,3515.4,12421.08,1680,8.4,10285,23436
304964,10306,Residential,Purchase,23,Pipeline,14,14,14061,3983.95,5390.05,1036,5.18,6761,23435
265765,10306,Residential,Purchase,6,Complete,23,23,5075.4,2768.4,15226.2,1610,8.05,9504,23070
306095,10306,Residential,Lease,6,Complete,22,22,4110.7968,2740.5312,15986.432,887,7.04,5951,22837.76
288851,10306,Residential,Power Purchase Agreement,28,Pipeline,1,11,16503.84,3165.12,2939.04,858,4.29,4156,22608
289205,10306,Residential,Purchase,10,Pipeline,1,12,15708,3141.6,3590.4,816,4.08,4781,22440
316503,10306,Residential,Power Purchase Agreement,30,Pipeline,17,17,13634.476,4246.804,4470.32,1292,6.46,6666,22351.6
290290,10306,Residential,Power Purchase Agreement,5,Complete,17,17,4058.495,4272.1,13029.905,1190,5.95,5779,21360.5
309351,10306,Residential,Power Purchase Agreement,21,Pipeline,17,17,12310.822,2921.212,5633.766,1156,5.78,6190,20865.8
309432,10306,Residential,Power Purchase Agreement,21,Pipeline,17,17,8972.294,4173.16,7720.346,1156,5.78,6190,20865.8
300294,10306,Residential,Lease,31,Complete,17,17,12594.365,3716.37,4335.765,1190,5.78,5430,20646.5
311074,10306,Residential,Lease,2,Pipeline,1,23,10638.69,2609.49,6824.82,1656,8.28,8225,20073
303958,10306,Residential,Power Purchase Agreement,30,Pipeline,18,18,8757.72,3308.472,7395.408,1224,6.12,7549,19461.6
301772,10306,Residential,Purchase,7,Complete,1,13,7290.68,3453.48,8441.84,936,4.68,4853,19186
299106,10306,Residential,Power Purchase Agreement,27,Pipeline,15,15,2660.7,3420.9,12923.4,1050,5.25,5279,19005
297612,10306,Residential,Lease,18,Complete,16,16,7360.2048,3585.7408,7926.3744,1024,5.12,5993,18872.32
304891,10306,Residential,Lease,27,Complete,16,16,12272.64,2707.2,3068.16,1024,5.12,4930,18048
288065,10306,Residential,Power Purchase Agreement,22,Pipeline,18,18,9836.064,2634.66,5093.676,1224,6.12,6382,17564.4
292616,10306,Residential,Lease,18,Complete,19,19,9542.5,2255.5,5552,1292,6.46,6157,17350
304038,10306,Residential,Lease,22,Complete,14,14,7990.752,1870.176,7140.672,896,4.48,4551,17001.6
294877,10306,Residential,Purchase,3,Complete,11,11,2977.56,1985.04,11579.4,792,3.96,4849,16542
294654,10306,Residential,Purchase,3,Complete,13,13,8910,2805,4785,832,4.16,4982,16500
308241,10306,Residential,Power Purchase Agreement,14,Complete,12,12,12464.76,3237.6,485.64,912,4.56,4929,16188
315014,10306,Residential,Lease,22,Pipeline,1,14,6281.457,1610.63,8214.213,980,4.9,6028,16106.3
277465,10306,Residential,Power Purchase Agreement,5,Complete,12,12,9999.36,2968.56,2656.08,840,4.2,4182,15624
309358,10306,Residential,Power Purchase Agreement,21,Pipeline,17,17,8551.51,2487.712,4508.978,1156,5.78,5709,15548.2
306294,10306,Residential,Lease,4,Complete,1,16,11337.63,1708.41,2484.96,795,5.76,5367,15531
306766,10306,Residential,Power Purchase Agreement,7,Pipeline,12,12,11711.232,2852.736,450.432,816,4.08,4487,15014.4
311044,10306,Residential,Lease,2,Pipeline,1,16,11643.84,1791.36,1492.8,1152,5.76,7111,14928
308239,10306,Residential,Power Purchase Agreement,14,Complete,11,11,11341.176,1492.26,2089.164,836,4.18,4556,14922.6
286179,10306,Residential,Lease,7,Complete,1,14,3836.8512,1475.712,9444.5568,896,4.48,5003,14757.12
293322,10306,Residential,Lease,23,Complete,1,13,10086.5856,2485.1008,2046.5536,832,4.16,4628,14618.24
302508,10306,Residential,Purchase,13,Complete,13,13,3875.2,2352.8,7612,884,4.42,5531,13840
307627,10306,Residential,Lease,12,Complete,12,12,4546.08,2755.2,6474.72,840,4.2,3989,13776
307760,10306,Residential,Lease,12,Complete,1,13,9624.32,1450.24,2109.44,910,4.55,5755,13184
304100,10306,Residential,Power Purchase Agreement,5,Complete,9,9,8532.81,2231.658,2362.932,612,3.06,3747,13127.4
