Project Number,Zip Code,Sector,Purchase Type,Application_Month,Project Status,Total Inverter Quantity,Total PV Module Quantity,Hardware Cost,Labor Cost,misc cost,$Incentive,Total Nameplate kW DC,Expected kWh Annual Production,
312866,10520,Residential,Purchase,16,Pipeline,1,22,25982.88,5128.2,3076.92,1074,8.14,7075,34188
265752,10520,Residential,Purchase,22,Complete,1,31,12824.24,6749.6,14174.16,1984,9.92,9316,33748
293070,10520,Residential,Purchase,17,Complete,1,30,19440,6480,6480,2010,10.05,9267,32400
302461,10520,Residential,Purchase,14,Complete,1,26,22500,4200,3300,1924,9.62,9988,30000
305271,10520,Residential,Purchase,3,Complete,19,19,22040.76,4640.16,2320.08,1501,7.51,9468,29001
287101,10520,Residential,Purchase,14,Complete,59,61,6380,5800,16820,2108,21.96,13853,29000
307346,10520,Residential,Purchase,19,Pipeline,1,27,14701.67,4715.63,8321.7,1782,8.91,9281,27739
281985,10520,Residential,Purchase,26,Pipeline,30,30,12468.25,3058.25,7998.5,2250,11.25,13454,23525
287069,10520,Residential,Lease,29,Complete,24,24,2458.17,2458.17,13992.66,1512,7.56,7253,18909
296080,10520,Residential,Purchase,11,Pipeline,22,22,12523.5,2003.76,2170.74,1518,7.59,8378,16698
301743,10520,Residential,Lease,7,Pipeline,1,18,8156.72,2196.04,5333.24,808,6.12,5308,15686
312752,10522,Residential,Purchase,17,Pipeline,26,26,19157,3831.4,15325.6,2210,11.05,12127,38314
286331,10522,Residential,Purchase,12,Complete,25,25,8190,5355,17955,1700,8.5,8043,31500
291530,10522,Residential,Purchase,15,Pipeline,1,78,6762.3446,5840.2067,18135.3787,374,4.56,2486,30737.93
282385,10522,Residential,Purchase,6,Complete,20,20,13806.5,5210,7033.5,994,7.2,6529,26050
304066,10522,Residential,Purchase,23,Pipeline,16,16,14599.2,4866.4,4866.4,1264,6.32,5814,24332
292444,10522,Residential,Lease,17,Complete,1,28,15719.25,3982.21,1257.54,1764,8.82,9174,20959
266475,10522,Residential,Power Purchase Agreement,17,Pipeline,20,20,9415.8,2929.36,8578.84,2275,6.5,6250,20924
315742,10522,Residential,Lease,25,Pipeline,1,21,4988.88,2494.44,11704.68,1428,7.14,7225,19188
301430,10522,Residential,Power Purchase Agreement,7,Pipeline,1,8,4249.1976,1333.0816,2749.4808,317,2.56,2086,8331.76
301825,10523,Residential,Power Purchase Agreement,22,Pipeline,24,24,23598,5814,4788,1824,9.12,9044,34200
312981,10523,Residential,Purchase,17,Pipeline,1,42,6452.554,3226.277,22583.939,216,2.46,1404,32262.77
296133,10523,Residential,Lease,23,Complete,1,27,7218.4944,2776.344,17768.6016,467,8.64,3066,27763.44
296853,10523,Residential,Lease,23,Pipeline,1,27,10272.4728,3331.6128,14159.3544,1002,8.64,6586,27763.44
296319,10523,Residential,Lease,23,Pipeline,1,26,2674.072,3743.7008,20322.9472,1664,8.32,8609,26740.72
295897,10523,Residential,Lease,10,Pipeline,1,32,18942.62,3356.92,1678.46,2016,10.08,11425,23978
312123,10523,Residential,Purchase,15,Pipeline,1,18,7134,2091,3075,649,6.12,4213,12300
306645,10523,Non-Residential,Purchase,30,Pipeline,15,5055,2367516.833,533524.92,433488.9975,599018,1996.73,2204208,3334530.75
314521,10523,Non-Residential,Lease,23,Pipeline,5,1638,992726.28,134152.2,214643.52,191646,638.82,738782,1341522
303910,10523,Non-Residential,Lease,23,Pipeline,5,1382,475380.36,226371.6,430106.04,161694,538.98,630402,1131858
297947,10523,Non-Residential,Lease,24,Pipeline,4,1278,408205.98,167469.12,471006.9,149526,498.42,576412,1046682
306675,10523,Non-Residential,Purchase,30,Pipeline,5,1179,466636.41,108881.829,202209.111,139712,465.71,508589,777727.35
294063,10523,Non-Residential,Lease,4,Pipeline,3,885,478377.9,123218.55,123218.55,103545,345.15,401427,724815
294746,10523,Non-Residential,Lease,4,Pipeline,3,672,456633.45,101474.1,166707.45,78624,262.08,304123,724815
291491,10523,Non-Residential,Lease,11,Pipeline,2,669,279434.61,98623.98,169852.41,78273,260.91,294879,547911
286378,10523,Non-Residential,Lease,14,Pipeline,3,662,97592.04,92170.26,352415.7,77454,258.18,300276,542178
310475,10523,Non-Residential,Lease,29,Pipeline,2,658,231727.86,53890.2,253283.94,76986,256.62,296776,538902
297917,10523,Non-Residential,Lease,23,Pipeline,2,617,293087.34,90958.14,121277.52,72189,240.63,281446,505323
310944,10523,Non-Residential,Lease,3,Pipeline,3,425,239190,67830,49980,51000,170,187665,357000
307004,10523,Non-Residential,Lease,8,Pipeline,3,417,136609.2,64889.37,140024.43,48789,162.63,185941,341523
282052,10524,Residential,Purchase,17,Pipeline,2,48,17056,6232,9512,3370,16.32,12019,32800
302335,10524,Residential,Purchase,16,Pipeline,63,63,7321.725,3796.45,15999.325,6010,24.89,21420,27117.5
308210,10524,Residential,Lease,14,Pipeline,1,30,8596.9,2528.5,14159.6,2116,9.75,7536,25285
290206,10524,Residential,Lease,5,Complete,1,18,7664.04,2128.9,11496.06,1984,5.67,6291,21289
304032,10526,Residential,Purchase,6,Complete,1,27,15075.83,3692.04,11999.13,3591,10.26,11252,30767
281944,10526,Residential,Purchase,25,Pipeline,26,20,9072.5,3581.25,11221.25,2625,7.5,8365,23875
312383,10528,Residential,Purchase,11,Pipeline,37,37,20090,7840,21070,1962,14.43,12895,49000
296177,10528,Residential,Power Purchase Agreement,11,Pipeline,25,25,7947.6281,5127.502,12562.3799,1138,8.75,7474,25637.51
286753,10528,Residential,Purchase,11,Complete,1,29,8917.5015,2972.5005,7926.668,1065,9.86,7046,19816.67
290445,10530,Residential,Power Purchase Agreement,11,Pipeline,2,54,11075.376,5537.688,38763.816,2385,17.28,15585,55376.88
288954,10530,Residential,Purchase,5,Complete,28,28,23142,4389,12369,2100,10.5,10349,39900
280613,10530,Residential,Power Purchase Agreement,7,Complete,2,38,15995.4776,3901.336,19116.5464,1605,12.16,10556,39013.36
312728,10530,Residential,Lease,17,Pipeline,1,35,13871.7138,6570.8118,16061.9844,2275,11.38,11511,36504.51
276237,10530,Residential,Lease,4,Complete,37,37,4298.6976,6089.8216,25433.9608,1515,12.03,10028,35822.48
291308,10530,Residential,Lease,17,Pipeline,1,30,10174.428,6166.32,14490.852,883,9.6,5862,30831.6
309399,10530,Residential,Lease,11,Pipeline,1,29,21796.0632,3329.9541,5146.2927,1131,9.43,7398,30272.31
312710,10530,Residential,Lease,17,Pipeline,1,27,14661.3532,4229.2365,9304.3203,1193,8.78,7846,28194.91
315309,10530,Residential,Purchase,23,Pipeline,21,21,3630.9,3630.9,20668.2,941,7.35,6159,27930
285288,10530,Residential,Power Purchase Agreement,6,Pipeline,1,26,20590.3544,4813.3296,1337.036,1664,8.32,7981,26740.72
296140,10530,Residential,Lease,23,Pipeline,1,26,9626.6592,2674.072,14439.9888,1048,8.32,6934,26740.72
310933,10530,Residential,Purchase,2,Complete,12,12,12383.82,2671.02,9227.16,912,4.56,4315,24282
297271,10530,Residential,Power Purchase Agreement,31,Pipeline,18,18,5045.04,3439.8,14447.16,1260,6.3,6044,22932
276228,10530,Residential,Lease,4,Complete,23,23,14761.032,3802.084,3802.084,1495,7.48,7580,22365.2
303265,10530,Residential,Lease,16,Pipeline,14,14,8918,1783.6,7134.4,980,4.9,4692,17836
306072,10530,Residential,Purchase,24,Complete,1,15,12096,1848,2856,1005,5.03,4724,16800
297944,10530,Residential,Lease,1,Pipeline,1,15,5421.78,2478.528,7590.492,490,4.8,3209,15490.8
297942,10530,Residential,Lease,26,Pipeline,1,14,2025.5312,2748.9352,9693.6136,896,4.48,5063,14468.08
282131,10530,Residential,Power Purchase Agreement,5,Complete,1,13,1344.536,1613.4432,10487.3808,483,4.16,3171,13445.36
309348,10530,Residential,Lease,15,Pipeline,1,8,2082.94,916.4936,5332.3264,512,2.56,2523,8331.76
308941,10532,Residential,Lease,25,Pipeline,2,48,23635.4688,7878.4896,17726.6016,1198,15.36,7772,49240.56
